ubigeo;distrito;centro_poblado;region_natural;altitud_msnm;pob_2017;categoria_ign;lon;lat;fuente_coord
060611;Santa Cruz;El Rejo;Yunga fluvial;1501;1;ANEXO;-78.85774020099996;-6.102736836999952;IGN
060611;Santa Cruz;Caña Brava;Rupa Rupa;798;0;;;;
060611;Santa Cruz;El Cacao;Rupa Rupa;1185;0;ANEXO;-78.89091015599996;-6.06455468799993;INEI
060611;Santa Cruz;Alto Peru;Yunga fluvial;2052;0;ANEXO;-78.84354101499997;-6.084218749999934;INEI
060611;Santa Cruz;Catache;Yunga fluvial;1759;0;;;;
060612;Santo Domingo De La Capilla;Santo Domingo De La Capilla;Yunga fluvial;1761;803;PUEBLO;-78.85550733599996;-6.243565880999938;IGN
060612;Santo Domingo De La Capilla;Naranjo Yacu;Yunga fluvial;1768;462;;-78.87060936199998;-6.24592172399997;INEI
060612;Santo Domingo De La Capilla;Chaupe Cruz;Yunga fluvial;1849;312;;;;
060612;Santo Domingo De La Capilla;Miraflores;Yunga fluvial;1882;284;OTROS;-78.86734619499998;-6.227817456999958;IGN
060612;Santo Domingo De La Capilla;San Antonio;Yunga fluvial;1938;282;CASERÃO;-78.83503874899998;-6.248716730999945;IGN
060612;Santo Domingo De La Capilla;Palo Quemado;Yunga fluvial;1879;276;CASERÃO;-78.87632495799994;-6.2628939399999695;IGN
060612;Santo Domingo De La Capilla;Cedro Pampa;Yunga fluvial;1750;231;CASERÃO;-78.83744921799996;-6.241896484999927;IGN
060612;Santo Domingo De La Capilla;Pan De Azucar;Yunga fluvial;1777;225;CASERÃO;-78.84531584699994;-6.231161124999971;INEI
060612;Santo Domingo De La Capilla;Santa Gertrudis;Yunga fluvial;1906;200;;;;
060612;Santo Domingo De La Capilla;Naranjos;Yunga fluvial;1696;185;;;;
060612;Santo Domingo De La Capilla;Pabellon;Yunga fluvial;1914;151;;-78.88011911199999;-6.208939348999934;INEI
060612;Santo Domingo De La Capilla;Santa Rosa;Yunga fluvial;2166;151;CASERÃO;-78.84400390599995;-6.2718437499999595;IGN
060612;Santo Domingo De La Capilla;Nuevo Oriente;Yunga fluvial;1979;130;;;;
060612;Santo Domingo De La Capilla;Chamana;Yunga fluvial;1791;103;CASERÃO;-78.86975352899998;-6.217559219999941;IGN
060612;Santo Domingo De La Capilla;Tabla Bamba;Yunga fluvial;1640;96;CASERÃO;-78.87353481299994;-6.234779706999973;IGN
060612;Santo Domingo De La Capilla;Naranjito;Yunga fluvial;2080;95;;-78.86670184099995;-6.222141944999976;IGN
060612;Santo Domingo De La Capilla;La Florida;Yunga fluvial;1978;94;;;;
060612;Santo Domingo De La Capilla;Calabocillo;Yunga fluvial;1694;93;CASERÃO;-78.83703635299997;-6.212760356999979;INEI
